Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,46.630001,46.880001,46.16,46.169998,1902200,45.440603
2014-12-30,46.75,47.23,46.650002,46.860001,1654800,46.119705
2014-12-29,47.029999,47.189999,47.009998,47.049999,1006300,46.306702
2014-12-26,47.279999,47.529999,47.16,47.189999,807900,46.44449
2014-12-24,47.389999,47.439999,47.049999,47.060001,660600,46.316546
2014-12-23,47.25,47.59,47.09,47.369999,1695100,46.621646
2014-12-22,46.50,47.07,46.23,47.029999,3182200,46.287017
2014-12-19,47.27,47.68,46.110001,46.299999,6761100,45.56855
2014-12-18,47.400002,47.75,47.130001,47.75,4181800,46.995644
2014-12-17,46.57,47.310001,46.200001,47.18,2794000,46.434649
2014-12-16,46.75,47.23,46.380001,46.43,2824600,45.696498
2014-12-15,46.189999,46.759998,46.099998,46.509998,3648500,45.775232
2014-12-12,46.610001,46.779999,46.099998,46.099998,3057500,45.371709
2014-12-11,46.860001,47.459999,46.720001,46.869999,2738600,46.129545
2014-12-10,46.650002,47.049999,46.490002,46.610001,2465600,45.873654
2014-12-09,46.689999,46.950001,46.25,46.709999,3629700,45.972073
2014-12-08,47.400002,47.48,46.950001,47.110001,2648500,46.365755
2014-12-05,47.360001,47.509998,47.279999,47.400002,2813500,46.651175
2014-12-04,47.299999,47.630001,47.189999,47.330002,2228700,46.582281
2014-12-03,47.470001,47.490002,47.25,47.380001,2155600,46.63149
2014-12-02,47.50,47.68,47.290001,47.41,2657100,46.661015
2014-12-01,47.389999,47.529999,47.110001,47.299999,2974500,46.552752
