Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,15.33,15.41,15.17,15.18,2450300,14.841373
2014-12-30,15.30,15.50,15.24,15.28,2363000,14.939142
2014-12-29,15.22,15.50,15.22,15.39,2479000,15.046689
2014-12-26,15.27,15.36,15.24,15.25,977400,14.909811
2014-12-24,15.32,15.35,15.17,15.23,1116800,14.890257
2014-12-23,15.19,15.35,15.16,15.30,1716100,14.958696
2014-12-22,15.14,15.19,14.94,15.16,3311200,14.821819
2014-12-19,14.92,15.23,14.92,15.16,7617400,14.821819
2014-12-18,14.94,14.98,14.75,14.92,4364000,14.587173
2014-12-17,14.58,14.88,14.55,14.83,3660400,14.49918
2014-12-16,14.48,14.64,14.37,14.51,3120400,14.186319
2014-12-15,14.60,14.68,14.46,14.49,3748900,14.166765
2014-12-12,14.66,14.73,14.53,14.57,3051000,14.24498
2014-12-11,14.63,14.76,14.59,14.70,2471000,14.37208
2014-12-10,14.87,14.91,14.57,14.58,2676300,14.254757
2014-12-09,14.80,14.95,14.75,14.89,2452600,14.557842
2014-12-08,14.91,15.00,14.79,14.89,2069000,14.557842
2014-12-05,14.77,14.95,14.72,14.92,2167700,14.587173
2014-12-04,14.74,14.77,14.65,14.72,1915800,14.391635
2014-12-03,14.65,14.80,14.60,14.77,1410200,14.440519
2014-12-02,14.86,14.87,14.63,14.68,2102300,14.352527
2014-12-01,14.71,14.76,14.56,14.68,2494900,14.352527
