Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,43.25,43.580002,42.73,42.790001,636700,41.926568
2014-12-30,43.48,43.619999,43.18,43.23,487300,42.357688
2014-12-29,43.279999,43.630001,43.240002,43.459999,565100,42.583047
2014-12-26,43.139999,43.529999,43.080002,43.279999,647200,42.406679
2014-12-24,43.209999,43.470001,43.139999,43.150002,447700,42.279305
2014-12-23,42.799999,43.360001,42.75,43.189999,1499400,42.318495
2014-12-22,42.41,42.740002,42.220001,42.709999,1260200,41.848181
2014-12-19,42.060001,42.400002,41.689999,42.23,1895600,41.377867
2014-12-18,41.799999,42.16,41.740002,42.02,1421200,41.172105
2014-12-17,41.029999,41.790001,40.970001,41.400002,1238300,40.564617
2014-12-16,41.07,41.349998,40.959999,41.009998,1166300,40.182483
2014-12-15,41.279999,41.52,41.07,41.080002,1131400,40.251074
2014-12-12,41.619999,41.830002,41.23,41.25,1025300,40.417642
2014-12-11,41.549999,41.919998,41.450001,41.73,856400,40.887956
2014-12-10,41.490002,41.759998,41.25,41.529999,844400,40.691991
2014-12-09,41.32,41.66,41.25,41.66,780600,40.819369
2014-12-08,41.59,41.84,41.41,41.580002,830800,40.740985
2014-12-05,41.299999,41.560001,41.07,41.549999,695100,40.711588
2014-12-04,41.549999,41.59,41.169998,41.330002,1001500,40.496029
2014-12-03,41.610001,41.650002,41.349998,41.560001,577200,40.721388
2014-12-02,41.48,41.689999,41.209999,41.619999,732500,40.780175
2014-12-01,41.650002,41.880001,41.529999,41.599998,920500,40.760578
