Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,31.18,31.700001,31.139999,31.15,14930000,30.624216
2014-12-30,31.280001,31.49,31.24,31.379999,11033200,30.850334
2014-12-29,31.459999,31.620001,31.379999,31.389999,12675500,30.860165
2014-12-26,31.50,31.84,31.299999,31.65,8606400,31.115777
2014-12-24,31.440001,31.65,31.40,31.42,10823000,30.889659
2014-12-23,32.18,32.23,30.77,31.450001,34796500,30.919154
2014-12-22,31.860001,32.119999,31.620001,32.09,18395000,31.54835
2014-12-19,31.91,32.09,31.610001,31.940001,44949800,31.400883
2014-12-18,31.52,32.00,31.42,31.969999,35927000,31.430375
2014-12-17,30.700001,31.35,30.58,31.120001,24657000,30.594724
2014-12-16,30.83,31.559999,30.639999,30.67,23675700,30.152319
2014-12-15,31.129999,31.15,30.690001,30.860001,31734600,30.339112
2014-12-12,31.34,31.440001,30.860001,30.950001,27514300,30.427593
2014-12-11,31.860001,33.119999,31.51,31.65,26365200,31.115777
2014-12-10,32.00,32.169998,31.75,31.860001,30217200,31.322233
2014-12-09,31.549999,32.009998,31.450001,31.950001,26384400,31.410714
2014-12-08,31.780001,32.220001,31.76,31.969999,26867200,31.430375
2014-12-05,31.65,32.150002,31.60,31.99,24854300,31.450038
2014-12-04,31.559999,31.82,31.35,31.67,19076300,31.13544
2014-12-03,31.50,31.780001,31.309999,31.75,31455600,31.214089
2014-12-02,31.440001,31.620001,31.280001,31.57,25356400,31.037127
2014-12-01,30.879999,31.51,30.879999,31.26,22951400,30.73236
