Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,82.730003,82.82,81.360001,81.449997,3709300,79.462564
2014-12-30,83.150002,83.480003,82.389999,82.50,2708100,80.486946
2014-12-29,83.029999,83.529999,82.739998,83.199997,2629000,81.169863
2014-12-26,83.099998,83.690002,83.029999,83.339996,1705500,81.306446
2014-12-24,83.400002,83.57,83.059998,83.150002,1748300,81.121087
2014-12-23,83.220001,83.580002,83.010002,83.300003,4433700,81.267429
2014-12-22,82.480003,83.160004,82.160004,82.970001,5951700,80.945479
2014-12-19,84.169998,84.389999,82.629997,83.050003,9128000,80.04793
2014-12-18,82.699997,84.050003,82.389999,84.019997,6701800,80.982861
2014-12-17,81.809998,82.260002,81.160004,81.849998,6673400,78.891303
2014-12-16,82.199997,82.959999,81.349998,81.389999,8405200,78.447932
2014-12-15,84.529999,84.879997,82.379997,82.449997,7286900,79.469613
2014-12-12,85.589996,86.370003,84.389999,84.419998,4922800,81.368403
2014-12-11,85.629997,86.809998,85.599998,85.970001,4182700,82.862377
2014-12-10,86.489998,86.589996,85.269997,85.599998,4625600,82.505749
2014-12-09,86.050003,86.580002,85.25,86.559998,3467800,83.431046
2014-12-08,86.419998,87.160004,86.330002,86.790001,3270600,83.652736
2014-12-05,87.279999,87.330002,86.709999,87.139999,4236600,83.990082
2014-12-04,87.269997,87.480003,86.370003,87.150002,4111000,83.999723
2014-12-03,87.150002,87.68,86.769997,87.650002,3862000,84.481649
2014-12-02,86.580002,87.43,86.519997,87.389999,4077500,84.231046
2014-12-01,86.370003,87.029999,85.699997,86.50,3554100,83.373218
