Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,92.589996,92.860001,91.18,91.230003,2369900,89.748972
2014-12-30,92.529999,92.809998,92.239998,92.419998,2830200,90.919648
2014-12-29,92.18,93.300003,91.889999,92.669998,2013700,91.16559
2014-12-26,92.559998,93.199997,92.489998,92.510002,1203800,91.008191
2014-12-24,92.550003,93.25,92.419998,92.580002,1312000,91.077054
2014-12-23,92.269997,93.449997,92.129997,92.93,2589200,91.421371
2014-12-22,91.709999,92.279999,91.639999,91.849998,2191300,90.358902
2014-12-19,92.639999,93.050003,91.629997,91.709999,6390100,90.221175
2014-12-18,90.779999,92.360001,90.480003,92.360001,4160600,90.860625
2014-12-17,87.599998,89.510002,87.349998,89.440002,3745900,87.98803
2014-12-16,86.830002,88.489998,86.580002,86.849998,3623200,85.440072
2014-12-15,88.309998,88.690002,86.849998,87.440002,2952500,86.020498
2014-12-12,88.050003,88.949997,87.629997,87.739998,2723200,86.315623
2014-12-11,89.040001,90.110001,88.760002,88.949997,2196600,87.505979
2014-12-10,90.370003,90.900002,88.739998,88.769997,2774500,87.328901
2014-12-09,89.419998,90.830002,89.239998,90.82,1883900,89.345624
2014-12-08,90.110001,90.980003,89.629997,90.330002,2115000,88.863581
2014-12-05,88.839996,90.43,88.760002,90.18,2227100,88.716015
2014-12-04,88.120003,88.480003,87.75,88.370003,1508700,86.935401
2014-12-03,87.50,88.400002,87.440002,88.330002,1718200,86.896049
2014-12-02,86.599998,87.900002,86.57,87.50,1492900,86.079521
2014-12-01,87.370003,87.370003,86.080002,86.589996,2148500,85.184291
