Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,27.120001,27.129999,26.90,26.93,1772500,26.39703
2014-12-30,27.17,27.18,27.02,27.030001,938400,26.495051
2014-12-29,26.99,27.24,26.99,27.190001,1797300,26.651885
2014-12-26,27.00,27.049999,26.91,27.00,941400,26.465644
2014-12-24,26.790001,27.049999,26.74,26.889999,1513500,26.357821
2014-12-23,26.74,26.77,26.66,26.73,1111900,26.200988
2014-12-22,26.559999,26.889999,26.51,26.68,1963500,26.151978
2014-12-19,27.200001,27.23,26.790001,26.799999,4016500,26.269602
2014-12-18,27.07,27.23,26.99,27.209999,1245600,26.671487
2014-12-17,26.780001,27.08,26.780001,27.049999,1128900,26.514654
2014-12-16,26.65,26.98,26.58,26.75,1307200,26.220592
2014-12-15,26.75,26.870001,26.50,26.65,1495200,26.122571
2014-12-12,26.92,27.01,26.65,26.66,1815600,26.132373
2014-12-11,26.940001,27.08,26.92,26.959999,1112700,26.426435
2014-12-10,27.120001,27.15,26.90,26.90,1698300,26.367623
2014-12-09,27.07,27.200001,27.030001,27.200001,952100,26.661687
2014-12-08,27.18,27.290001,27.120001,27.16,893600,26.622478
2014-12-05,27.40,27.440001,27.33,27.43,1202000,26.622478
2014-12-04,27.43,27.50,27.379999,27.450001,875100,26.641889
2014-12-03,27.459999,27.48,27.40,27.42,687400,26.612772
2014-12-02,27.49,27.530001,27.40,27.48,784600,26.671005
2014-12-01,27.42,27.530001,27.40,27.469999,1735400,26.661299
