Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,127.900002,129.169998,127.230003,128.169998,594400,128.079936
2014-12-30,128.360001,128.669998,126.949997,127.360001,613200,127.270507
2014-12-29,125.830002,128.649994,125.559998,128.139999,694800,128.049958
2014-12-26,125.980003,126.93,125.660004,126.080002,246400,125.991408
2014-12-24,126.43,126.449997,125.379997,125.440002,232500,125.351858
2014-12-23,124.760002,127.160004,124.510002,126.379997,753700,126.291193
2014-12-22,123.260002,124.169998,122.690002,123.980003,435700,123.892885
2014-12-19,125.589996,125.589996,122.110001,122.910004,853900,122.823637
2014-12-18,124.860001,124.940002,123.139999,124.879997,943200,124.792247
2014-12-17,122.489998,123.959999,120.699997,123.82,856600,123.732994
2014-12-16,125.940002,125.940002,121.610001,121.690002,1172300,121.604493
2014-12-15,127.339996,127.919998,126.089996,126.400002,1147700,126.311183
2014-12-12,125.099998,127.730003,124.699997,127.029999,1511000,126.940737
2014-12-11,123.849998,126.099998,123.690002,125.559998,1301700,125.471769
2014-12-10,122.400002,123.43,121.650002,122.68,1219500,122.593796
2014-12-09,119.699997,123.330002,119.150002,122.400002,1318300,122.313994
2014-12-08,122.379997,123.980003,121.25,121.489998,1042800,121.404629
2014-12-05,122.510002,123.599998,121.50,122.769997,1439600,122.683729
2014-12-04,121.449997,125.480003,120.610001,122.68,1989900,122.593796
2014-12-03,121.900002,124.400002,121.580002,124.400002,1632700,124.312588
2014-12-02,121.699997,122.650002,121.480003,121.82,918000,121.734399
2014-12-01,126.239998,126.32,121.910004,122.089996,1111800,122.004206
