Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,28.620001,28.82,28.25,28.389999,1619800,28.389999
2014-12-30,28.370001,28.75,28.17,28.540001,1835700,28.540001
2014-12-29,28.07,28.73,28.030001,28.52,1706400,28.52
2014-12-26,28.32,28.440001,28.08,28.10,1213300,28.10
2014-12-24,28.08,28.25,27.82,28.08,854600,28.08
2014-12-23,27.58,28.280001,27.58,28.07,2626300,28.07
2014-12-22,27.57,27.690001,27.15,27.440001,2619400,27.440001
2014-12-19,27.17,27.65,27.00,27.610001,3954300,27.610001
2014-12-18,27.190001,27.74,26.92,27.129999,3848600,27.129999
2014-12-17,25.57,26.76,25.34,26.629999,4768400,26.629999
2014-12-16,25.610001,26.42,25.52,25.530001,2899000,25.530001
2014-12-15,26.870001,27.129999,25.690001,25.85,4860300,25.85
2014-12-12,27.77,27.889999,26.51,26.620001,5758400,26.620001
2014-12-11,28.219999,28.85,28.02,28.08,1977700,28.08
2014-12-10,29.459999,29.67,28.280001,28.290001,2194700,28.290001
2014-12-09,29.00,29.790001,28.93,29.74,2052500,29.74
2014-12-08,29.879999,29.889999,29.190001,29.40,3828400,29.40
2014-12-05,29.700001,30.25,29.629999,30.02,1838400,30.02
2014-12-04,29.65,29.870001,28.950001,29.620001,2794400,29.620001
2014-12-03,29.280001,29.98,29.16,29.77,2759000,29.77
2014-12-02,28.360001,29.33,28.120001,29.209999,2600100,29.209999
2014-12-01,29.790001,29.790001,27.879999,28.50,6694800,28.50
