Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,148.589996,150.899994,147.020004,148.850006,1731100,148.813701
2014-12-30,151.800003,153.800003,149.779999,150.070007,1537500,150.033405
2014-12-29,152.429993,154.399994,150.570007,153.300003,1708400,153.262613
2014-12-26,152.419998,153.50,150.100006,151.240005,762200,151.203118
2014-12-24,150.600006,151.600006,149.00,150.839996,951800,150.803206
2014-12-23,151.110001,152.880005,149.580002,152.440002,1711400,152.402822
2014-12-22,151.610001,151.770004,146.869995,149.910004,2220900,149.87344
2014-12-19,150.940002,153.050003,146.809998,152.699997,4273700,152.662753
2014-12-18,149.479996,151.50,143.270004,147.940002,3418700,147.90392
2014-12-17,134.880005,146.220001,134.830002,144.800003,3882500,144.764686
2014-12-16,131.660004,139.289993,130.740005,134.800003,3803500,134.767125
2014-12-15,133.929993,136.039993,131.720001,132.169998,2936500,132.137762
2014-12-12,128.00,134.580002,127.309998,131.25,3255600,131.217988
2014-12-11,131.550003,136.00,130.460007,130.600006,2684300,130.568152
2014-12-10,132.350006,134.330002,130.059998,131.550003,3115400,131.517918
2014-12-09,133.130005,137.580002,133.009995,136.330002,2572400,136.296751
2014-12-08,138.990005,139.779999,131.940002,133.369995,3663600,133.337466
2014-12-05,145.139999,146.990005,142.800003,143.00,3166300,142.965122
2014-12-04,142.410004,147.320007,142.139999,145.529999,3434800,145.494504
2014-12-03,147.360001,153.800003,147.130005,150.729996,2377000,150.693232
2014-12-02,143.970001,150.270004,143.970001,146.369995,3072600,146.334295
2014-12-01,142.139999,145.860001,140.110001,144.839996,3935400,144.80467
