Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.74,10.77,10.55,10.56,6229100,10.44497
2014-12-30,10.70,10.77,10.63,10.70,7921300,10.583444
2014-12-29,10.65,10.83,10.63,10.73,10192400,10.613117
2014-12-26,10.67,10.75,10.64,10.68,6512800,10.563663
2014-12-24,10.69,10.69,10.56,10.67,4854400,10.553771
2014-12-23,10.55,10.72,10.52,10.66,11369700,10.54388
2014-12-22,10.48,10.52,10.39,10.51,8526400,10.395514
2014-12-19,10.49,10.55,10.44,10.45,17396800,10.336167
2014-12-18,10.31,10.45,10.30,10.44,19974200,10.326276
2014-12-17,9.97,10.23,9.92,10.22,21592900,10.108673
2014-12-16,9.77,10.05,9.73,9.92,26967400,9.811941
2014-12-15,10.06,10.09,9.83,9.86,15771000,9.752594
2014-12-12,10.08,10.15,9.98,10.01,13203100,9.900961
2014-12-11,10.15,10.31,10.11,10.17,14805300,10.059218
2014-12-10,10.35,10.45,10.12,10.14,16788900,10.029545
2014-12-09,10.24,10.46,10.20,10.45,16127000,10.286712
2014-12-08,10.35,10.53,10.28,10.37,18258400,10.207962
2014-12-05,10.20,10.45,10.17,10.37,24235300,10.207962
2014-12-04,9.96,10.11,9.89,10.11,19004700,9.952025
2014-12-03,9.85,9.98,9.80,9.96,9670000,9.804369
2014-12-02,9.74,9.93,9.74,9.86,15505500,9.705931
2014-12-01,10.01,10.02,9.73,9.77,17304600,9.617338
