Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,69.529999,69.980003,69.059998,69.139999,1175600,69.139999
2014-12-30,70.110001,70.779999,69.349998,69.480003,1196000,69.480003
2014-12-29,70.940002,71.07,69.849998,70.290001,1356000,70.290001
2014-12-26,70.93,71.769997,70.529999,71.089996,898400,71.089996
2014-12-24,70.470001,71.75,70.459999,70.919998,911600,70.919998
2014-12-23,69.459999,70.660004,69.260002,70.449997,1899300,70.449997
2014-12-22,68.150002,69.309998,68.110001,68.889999,2454200,68.889999
2014-12-19,67.379997,70.129997,67.00,68.040001,10488700,68.040001
2014-12-18,60.689999,61.75,60.34,61.50,4581100,61.50
2014-12-17,58.549999,59.799999,58.099998,59.48,2012200,59.48
2014-12-16,58.330002,59.549999,58.00,58.23,2617900,58.23
2014-12-15,58.310001,59.299999,58.189999,58.950001,2608100,58.950001
2014-12-12,58.25,58.889999,57.869999,57.869999,1812400,57.869999
2014-12-11,58.84,59.59,58.279999,58.419998,1749100,58.419998
2014-12-10,59.09,59.48,58.599998,58.700001,2167300,58.700001
2014-12-09,59.259998,59.759998,58.75,59.099998,2859900,59.099998
2014-12-08,61.07,61.400002,59.959999,60.060001,2145500,60.060001
2014-12-05,61.720001,61.900002,61.330002,61.68,1178500,61.68
2014-12-04,62.119999,62.32,61.580002,61.68,1789700,61.68
2014-12-03,61.369999,62.540001,61.369999,62.139999,1220700,62.139999
2014-12-02,61.77,62.16,61.139999,61.43,1438300,61.43
2014-12-01,62.00,62.509998,61.48,61.509998,1285700,61.509998
