Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,53.150002,54.549999,53.110001,53.450001,3089400,53.364062
2014-12-30,56.00,56.09,53.360001,53.650002,3370600,53.563741
2014-12-29,55.32,56.150002,54.799999,56.00,3729900,55.909961
2014-12-26,56.02,56.549999,54.02,54.57,2336800,54.48226
2014-12-24,56.619999,57.48,55.59,55.73,1302700,55.640395
2014-12-23,55.75,57.810001,55.75,57.00,2573700,56.908353
2014-12-22,58.139999,58.75,55.509998,57.07,3678000,56.978241
2014-12-19,60.950001,61.00,57.610001,59.869999,5063700,59.773738
2014-12-18,63.810001,64.279999,57.939999,60.09,5369200,59.993385
2014-12-17,58.490002,62.73,58.369999,61.91,4479000,61.810459
2014-12-16,55.400002,61.25,55.18,58.220001,5781200,58.126393
2014-12-15,56.759998,58.349998,55.259998,55.400002,5014400,55.310927
2014-12-12,52.389999,54.959999,51.990002,54.18,3640800,54.092888
2014-12-11,52.00,54.779999,51.830002,52.98,3636000,52.894816
2014-12-10,54.540001,55.07,52.209999,52.279999,4658500,52.156008
2014-12-09,54.860001,56.200001,54.810001,55.540001,3947900,55.408278
2014-12-08,57.959999,58.43,55.299999,55.299999,5088400,55.168846
2014-12-05,60.490002,60.880001,58.080002,58.93,4604100,58.790238
2014-12-04,63.580002,64.059998,60.119999,60.549999,3828700,60.406395
2014-12-03,64.540001,65.559998,63.900002,64.480003,1672800,64.327078
2014-12-02,64.599998,66.080002,63.959999,64.080002,2098900,63.928025
2014-12-01,65.339996,65.559998,63.82,65.349998,2538700,65.19501
