Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,36.650002,36.830002,36.25,36.299999,2732700,35.572998
2014-12-30,37.009998,37.23,36.610001,36.720001,4101900,35.984589
2014-12-29,36.880001,37.27,36.68,37.049999,4029600,36.307977
2014-12-26,36.779999,37.07,36.779999,36.900002,1572700,36.160984
2014-12-24,36.610001,36.900002,36.48,36.669998,1587800,35.935587
2014-12-23,36.990002,37.080002,36.599998,36.759998,4338800,36.023785
2014-12-22,33.77,36.799999,33.599998,36.700001,6349600,35.964989
2014-12-19,36.349998,37.09,36.060001,37.07,9978300,36.327577
2014-12-18,35.889999,36.18,34.91,36.18,8217800,35.455403
2014-12-17,33.380001,35.00,33.380001,34.77,6788700,34.073642
2014-12-16,32.84,34.369999,32.50,33.369999,6646300,32.701679
2014-12-15,33.889999,34.00,32.900002,33.09,5188800,32.427288
2014-12-12,34.189999,34.419998,33.650002,33.66,6324500,32.985872
2014-12-11,35.240002,35.830002,34.639999,34.75,7856800,34.054042
2014-12-10,36.110001,36.169998,34.939999,35.139999,5743100,34.43623
2014-12-09,35.619999,36.419998,35.299999,36.380001,6415100,35.651398
2014-12-08,37.00,37.119999,35.689999,35.709999,5561000,34.994814
2014-12-05,37.00,37.360001,37.00,37.130001,3862800,36.386377
2014-12-04,37.25,37.380001,36.91,37.099998,4345500,36.356975
2014-12-03,37.27,37.560001,37.16,37.25,3495000,36.503973
2014-12-02,36.889999,37.439999,36.700001,37.25,6223400,36.503973
2014-12-01,37.68,37.790001,36.740002,37.040001,6230600,36.298179
