Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,122.18,122.699997,118.970001,119.019997,554400,117.829479
2014-12-30,121.400002,122.57,121.120003,121.489998,455000,120.274773
2014-12-29,122.129997,123.209999,121.519997,121.57,529800,119.759973
2014-12-26,121.459999,122.449997,121.459999,122.040001,372800,120.222976
2014-12-24,121.370003,122.650002,120.879997,120.980003,365000,119.178761
2014-12-23,123.099998,123.379997,121.809998,121.93,559100,120.114613
2014-12-22,121.75,122.760002,121.150002,122.669998,649300,120.843594
2014-12-19,122.860001,123.25,120.970001,121.779999,1557100,119.966845
2014-12-18,123.00,123.599998,122.300003,123.099998,815300,121.267192
2014-12-17,118.879997,122.279999,118.370003,122.260002,903500,120.439702
2014-12-16,119.00,120.129997,118.150002,118.720001,831500,116.952407
2014-12-15,120.940002,121.099998,118.440002,119.059998,533700,117.287341
2014-12-12,121.629997,122.849998,120.309998,120.389999,582400,118.597541
2014-12-11,122.900002,123.889999,122.120003,122.220001,438800,120.400297
2014-12-10,122.290001,123.160004,121.43,122.480003,885600,120.656428
2014-12-09,120.190002,122.410004,119.709999,122.279999,656900,120.459401
2014-12-08,119.529999,120.519997,118.620003,120.449997,912800,118.656645
2014-12-05,118.43,119.559998,117.459999,119.529999,771600,117.750345
2014-12-04,118.730003,119.349998,117.720001,119.129997,732200,117.356299
2014-12-03,118.099998,118.839996,117.589996,118.779999,716400,117.011511
2014-12-02,116.120003,118.339996,115.809998,118.269997,825500,116.509103
2014-12-01,116.160004,117.129997,115.459999,116.349998,759000,114.617691
