Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,138.740005,139.169998,136.559998,136.740005,212000,135.782707
2014-12-30,138.649994,138.979996,137.919998,138.199997,155400,137.232478
2014-12-29,139.320007,139.979996,138.729996,138.970001,210700,137.997091
2014-12-26,139.419998,140.220001,139.289993,139.350006,96800,138.374436
2014-12-24,139.350006,139.589996,138.820007,139.089996,63700,138.116246
2014-12-23,138.330002,139.490005,137.949997,139.089996,166700,138.116246
2014-12-22,137.440002,138.00,136.979996,137.949997,201500,136.984228
2014-12-19,137.770004,137.830002,136.669998,136.960007,488100,136.001168
2014-12-18,136.369995,136.960007,135.309998,136.949997,396100,135.991229
2014-12-17,132.860001,134.419998,131.380005,134.229996,304900,133.29027
2014-12-16,132.289993,135.080002,132.289993,132.529999,300800,131.602174
2014-12-15,133.529999,134.429993,131.929993,132.570007,283000,131.641903
2014-12-12,133.949997,134.460007,132.539993,132.649994,491500,131.721329
2014-12-11,135.029999,136.75,134.419998,134.699997,258400,133.756981
2014-12-10,135.570007,136.449997,134.169998,134.660004,275800,133.717267
2014-12-09,134.00,136.389999,133.990005,136.270004,230200,135.315997
2014-12-08,136.830002,137.559998,135.389999,135.919998,252800,134.968441
2014-12-05,136.559998,137.449997,136.339996,136.770004,281100,135.812496
2014-12-04,137.25,137.580002,136.029999,136.550003,198700,135.594035
2014-12-03,135.899994,137.770004,135.539993,137.509995,290400,136.547306
2014-12-02,134.089996,135.50,133.649994,135.330002,274300,134.382575
2014-12-01,135.00,135.330002,133.380005,133.470001,368400,132.535596
