Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,76.699997,76.989998,75.169998,75.269997,1451000,74.779113
2014-12-30,77.370003,77.550003,76.470001,76.519997,1025800,76.020961
2014-12-29,77.610001,78.029999,76.989998,77.370003,1376600,76.865423
2014-12-26,78.849998,79.169998,77.730003,77.839996,430700,77.332352
2014-12-24,77.889999,79.540001,77.760002,78.540001,716600,78.027791
2014-12-23,77.099998,78.519997,77.099998,77.690002,1459000,77.183336
2014-12-22,77.800003,78.199997,76.75,77.169998,1175500,76.666723
2014-12-19,79.300003,79.639999,77.610001,77.830002,1643500,77.322422
2014-12-18,78.540001,78.849998,77.669998,78.839996,1252700,78.32583
2014-12-17,76.410004,78.209999,76.330002,77.849998,837800,77.342289
2014-12-16,75.769997,77.43,75.470001,76.25,828300,75.752725
2014-12-15,76.889999,77.43,75.849998,75.870003,750600,75.375206
2014-12-12,76.480003,77.459999,76.349998,76.589996,663500,76.090504
2014-12-11,77.760002,78.730003,77.150002,77.220001,643700,76.7164
2014-12-10,78.019997,78.459999,77.370003,77.610001,659700,77.103856
2014-12-09,77.470001,78.169998,76.839996,78.059998,970200,77.550918
2014-12-08,79.970001,80.169998,78.18,78.309998,895100,77.799288
2014-12-05,79.739998,80.93,79.690002,80.279999,1159100,79.756441
2014-12-04,80.029999,80.260002,78.910004,79.870003,2040900,79.349119
2014-12-03,79.080002,82.779999,78.68,80.519997,2271400,79.994874
2014-12-02,78.220001,79.00,78.089996,78.970001,769800,78.454987
2014-12-01,78.050003,78.550003,77.370003,77.910004,762100,77.401902
