Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,49.950001,50.099998,49.049999,49.110001,4963300,47.964307
2014-12-30,50.82,50.82,49.75,49.77,4130100,48.608909
2014-12-29,50.419998,51.279999,50.419998,50.880001,6266500,49.693014
2014-12-26,50.00,50.869999,49.959999,50.470001,5745200,49.29258
2014-12-24,49.169998,50.130001,49.169998,49.91,3812600,48.745643
2014-12-23,49.299999,49.470001,49.119999,49.169998,3171600,48.022904
2014-12-22,49.34,49.490002,48.880001,49.360001,3999700,48.208474
2014-12-19,48.939999,49.32,48.759998,49.02,8100200,47.876406
2014-12-18,48.32,49.00,48.099998,49.00,4911800,47.856872
2014-12-17,47.970001,48.349998,47.77,48.299999,4442200,47.173202
2014-12-16,47.91,48.389999,47.459999,47.759998,5401000,46.645799
2014-12-15,48.049999,48.23,47.50,47.849998,4515900,46.733699
2014-12-12,48.099998,48.700001,47.91,47.919998,3724600,46.802066
2014-12-11,47.900002,48.650002,47.900002,48.400002,4558800,47.270871
2014-12-10,47.970001,48.43,47.889999,47.919998,4163300,46.802066
2014-12-09,48.16,48.360001,47.810001,48.139999,3999600,47.016935
2014-12-08,47.560001,48.220001,47.560001,48.049999,4903800,46.929034
2014-12-05,47.439999,47.700001,47.220001,47.540001,4755900,46.430934
2014-12-04,47.900002,48.130001,47.650002,47.91,2910000,46.792301
2014-12-03,48.060001,48.139999,47.720001,47.900002,4661000,46.782536
2014-12-02,47.799999,48.169998,47.419998,47.91,6944100,46.792301
2014-12-01,47.150002,48.310001,47.07,47.689999,8389600,46.577432
