Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,186.190002,187.100006,182.100006,182.110001,1110600,179.330387
2014-12-30,185.990005,186.820007,185.110001,185.550003,702700,182.717883
2014-12-29,184.839996,186.889999,184.690002,186.509995,964500,183.663222
2014-12-26,185.369995,186.429993,184.580002,184.630005,637400,181.811927
2014-12-24,186.600006,187.470001,184.830002,185.119995,1013700,182.294439
2014-12-23,187.619995,188.179993,185.509995,186.339996,984000,183.495818
2014-12-22,185.029999,187.679993,184.270004,187.460007,1245100,184.598734
2014-12-19,185.660004,185.949997,183.529999,183.529999,2765400,180.728711
2014-12-18,184.289993,185.509995,183.00,185.470001,1292600,182.639102
2014-12-17,180.00,183.300003,179.460007,182.979996,1356500,180.187103
2014-12-16,180.130005,181.419998,178.289993,179.149994,1359200,176.41556
2014-12-15,181.00,181.770004,179.240005,180.320007,1468700,177.567715
2014-12-12,181.669998,183.600006,180.440002,180.440002,1595000,177.685878
2014-12-11,183.270004,183.779999,182.020004,182.860001,1553600,180.068939
2014-12-10,182.160004,183.190002,181.449997,182.710007,1203100,179.921235
2014-12-09,180.970001,182.660004,180.660004,182.229996,1069100,179.44855
2014-12-08,181.210007,183.179993,181.210007,182.860001,1284300,180.068939
2014-12-05,181.289993,181.289993,179.300003,180.830002,1342800,178.069925
2014-12-04,181.789993,182.399994,180.289993,182.050003,927400,179.271305
2014-12-03,181.889999,182.25,180.899994,181.600006,1026100,178.828176
2014-12-02,180.649994,182.050003,179.399994,181.850006,1506400,179.074361
2014-12-01,180.380005,182.589996,180.130005,180.380005,1659700,177.626797
