Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,66.300003,66.879997,64.989998,65.029999,1235900,64.489602
2014-12-30,66.440002,66.660004,66.010002,66.199997,922200,65.649878
2014-12-29,66.169998,66.779999,66.040001,66.489998,943100,65.937469
2014-12-26,66.980003,66.989998,66.410004,66.470001,523600,65.649884
2014-12-24,66.040001,67.089996,66.040001,66.669998,432100,65.847413
2014-12-23,67.650002,67.730003,65.980003,66.00,1176700,65.185681
2014-12-22,67.199997,67.730003,67.00,67.400002,908900,66.568409
2014-12-19,67.480003,67.889999,66.639999,67.169998,2375400,66.341244
2014-12-18,66.290001,67.25,66.040001,67.230003,1769300,66.400509
2014-12-17,64.290001,65.82,63.849998,65.610001,2302700,64.800494
2014-12-16,65.120003,65.68,64.269997,64.290001,2003200,63.496781
2014-12-15,66.790001,66.980003,65.07,65.230003,1752000,64.425185
2014-12-12,66.650002,66.870003,66.050003,66.330002,2238200,65.511612
2014-12-11,67.18,67.730003,66.82,67.010002,1296400,66.183222
2014-12-10,69.00,69.010002,66.860001,66.93,1546300,66.104207
2014-12-09,68.169998,69.00,68.059998,68.980003,1138800,68.128917
2014-12-08,69.709999,69.839996,68.550003,69.080002,2391000,68.227682
2014-12-05,69.68,70.239998,69.260002,69.949997,1705200,69.086943
2014-12-04,69.199997,69.330002,68.629997,69.330002,1412800,68.474597
2014-12-03,68.010002,69.419998,67.82,69.160004,1966900,68.306696
2014-12-02,67.510002,68.279999,67.360001,68.139999,1256300,67.299277
2014-12-01,67.610001,67.940002,67.190002,67.330002,1273700,66.499273
