Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,73.230003,74.510002,72.699997,72.709999,2012900,72.497623
2014-12-30,72.720001,73.290001,72.599998,72.860001,1673300,72.647186
2014-12-29,72.839996,73.400002,71.059998,73.169998,3923000,72.956278
2014-12-26,74.370003,74.669998,73.940002,74.489998,1395100,74.272423
2014-12-24,73.830002,74.550003,73.559998,74.32,921800,74.102921
2014-12-23,74.839996,74.970001,73.220001,73.400002,2595500,73.18561
2014-12-22,72.949997,74.82,72.199997,74.419998,2627100,74.202627
2014-12-19,73.57,73.730003,71.589996,72.699997,4409200,72.48765
2014-12-18,73.00,73.190002,71.849998,73.190002,3716400,72.976224
2014-12-17,68.629997,70.910004,67.50,70.82,2822300,70.613144
2014-12-16,67.839996,69.809998,67.269997,68.120003,2874200,67.921033
2014-12-15,69.940002,70.25,67.699997,68.510002,3570500,68.309894
2014-12-12,69.010002,70.269997,69.010002,69.099998,2382200,68.898167
2014-12-11,68.900002,71.339996,68.760002,70.080002,3375100,69.875308
2014-12-10,69.760002,70.68,68.309998,68.519997,3447100,68.319859
2014-12-09,66.870003,69.809998,65.629997,69.220001,2993300,69.017819
2014-12-08,70.010002,70.940002,68.139999,69.150002,3814900,68.948024
2014-12-05,70.150002,71.089996,69.339996,70.360001,3988500,70.154488
2014-12-04,68.00,70.139999,67.220001,69.75,6602900,69.54627
2014-12-03,66.019997,66.839996,65.040001,66.669998,3870000,66.475264
2014-12-02,64.839996,66.25,64.029999,65.800003,4758600,65.60781
2014-12-01,67.260002,67.349998,64.330002,65.769997,4437700,65.577891
