Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,95.980003,96.330002,94.25,94.330002,888100,93.638304
2014-12-30,95.43,96.080002,95.110001,95.559998,679600,94.859281
2014-12-29,95.349998,95.57,94.790001,95.449997,747800,94.750087
2014-12-26,96.139999,96.370003,95.519997,95.639999,583000,94.596222
2014-12-24,96.580002,96.919998,95.989998,96.00,629100,94.952293
2014-12-23,95.459999,98.239998,94.07,96.610001,3601700,95.555637
2014-12-22,94.809998,95.470001,94.639999,94.989998,1111100,93.953314
2014-12-19,96.129997,96.610001,94.510002,94.790001,2610400,93.7555
2014-12-18,93.970001,95.849998,93.610001,95.830002,1727200,94.784151
2014-12-17,90.959999,93.019997,90.57,92.830002,1563300,91.816891
2014-12-16,91.110001,92.620003,90.760002,90.779999,1352500,89.789261
2014-12-15,92.550003,92.860001,90.959999,91.400002,1421800,90.402498
2014-12-12,92.629997,93.360001,91.910004,92.00,1233600,90.995948
2014-12-11,93.169998,93.959999,92.949997,93.410004,1469500,92.390563
2014-12-10,94.290001,94.57,92.370003,92.639999,1654600,91.628963
2014-12-09,93.730003,94.470001,93.169998,94.410004,918500,93.37965
2014-12-08,94.519997,95.370003,94.400002,94.599998,945700,93.567571
2014-12-05,94.279999,95.00,94.07,94.620003,642900,93.587357
2014-12-04,94.120003,95.010002,93.919998,94.379997,617500,93.349971
2014-12-03,94.620003,94.639999,93.949997,94.510002,1108200,93.478557
2014-12-02,93.209999,94.93,93.199997,94.660004,1558400,93.626921
2014-12-01,92.790001,93.57,92.370003,92.959999,818100,91.94547
