Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,64.43,64.550003,63.25,63.25,1316800,63.25
2014-12-30,64.339996,64.540001,64.099998,64.110001,917400,64.110001
2014-12-29,64.529999,65.029999,64.529999,64.57,952500,64.57
2014-12-26,64.690002,65.07,64.690002,64.75,628800,64.75
2014-12-24,64.75,64.970001,64.489998,64.589996,647900,64.589996
2014-12-23,64.860001,65.209999,64.68,64.709999,913700,64.709999
2014-12-22,63.799999,64.720001,63.799999,64.589996,1128500,64.589996
2014-12-19,63.759998,64.190002,63.48,63.57,2585000,63.57
2014-12-18,62.740002,63.779999,62.470001,63.709999,1786200,63.709999
2014-12-17,61.32,62.02,60.43,61.919998,2137800,61.919998
2014-12-16,61.139999,62.509998,61.02,61.240002,1846500,61.240002
2014-12-15,62.040001,62.52,61.110001,61.279999,1317700,61.279999
2014-12-12,62.52,62.98,61.740002,61.779999,1505100,61.779999
2014-12-11,63.509998,64.209999,63.02,63.189999,1212300,63.189999
2014-12-10,64.25,64.690002,63.209999,63.25,1197700,63.25
2014-12-09,63.32,64.459999,63.16,64.419998,1426200,64.419998
2014-12-08,64.970001,65.099998,64.07,64.25,846200,64.25
2014-12-05,64.769997,65.080002,64.550003,65.00,868800,65.00
2014-12-04,64.720001,64.849998,64.099998,64.589996,811200,64.589996
2014-12-03,64.010002,64.760002,63.950001,64.669998,1266300,64.669998
2014-12-02,63.630001,64.089996,63.50,63.889999,1182900,63.889999
2014-12-01,63.790001,64.169998,63.400002,63.580002,1140300,63.580002
