Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,32.400002,32.459999,31.889999,31.93,1066900,31.575621
2014-12-30,32.419998,32.43,32.099998,32.349998,942100,31.990958
2014-12-29,31.799999,32.509998,31.709999,32.50,1231600,32.139295
2014-12-26,31.85,32.00,31.67,31.76,621900,31.407508
2014-12-24,31.780001,31.860001,31.49,31.68,509500,31.328396
2014-12-23,31.75,32.220001,31.719999,31.879999,824200,31.526175
2014-12-22,31.969999,32.060001,31.49,31.59,1154600,31.239395
2014-12-19,31.309999,32.150002,31.08,31.99,2562800,31.634955
2014-12-18,30.90,31.110001,30.530001,31.110001,1199900,30.764722
2014-12-17,29.559999,30.49,29.559999,30.41,1299400,30.072491
2014-12-16,29.82,30.33,29.51,29.51,1980800,29.18248
2014-12-15,30.75,30.82,29.709999,29.82,2554700,29.489039
2014-12-12,30.83,31.200001,30.559999,30.559999,2216000,30.220826
2014-12-11,31.98,32.119999,31.33,31.440001,1771000,31.09106
2014-12-10,32.349998,32.549999,31.709999,31.91,1912600,31.555843
2014-12-09,31.75,32.560001,31.65,32.540001,1618600,32.178852
2014-12-08,32.610001,32.689999,31.99,32.09,1204400,31.733845
2014-12-05,32.970001,33.099998,32.580002,32.689999,940700,32.327185
2014-12-04,33.59,33.700001,32.799999,32.900002,986400,32.534857
2014-12-03,32.849998,33.68,32.68,33.639999,1795000,33.266642
2014-12-02,32.73,33.34,32.73,33.080002,1075200,32.515078
2014-12-01,32.369999,32.84,32.150002,32.650002,990000,32.092421
