Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,75.449997,76.650002,75.269997,75.910004,3206000,74.897247
2014-12-30,75.440002,75.879997,75.199997,75.709999,2160800,74.699911
2014-12-29,75.059998,75.989998,74.870003,75.529999,2744900,74.522312
2014-12-26,74.720001,75.370003,74.610001,75.059998,2217000,74.058581
2014-12-24,74.790001,75.32,74.610001,74.650002,1783800,73.654055
2014-12-23,74.830002,75.07,74.360001,74.690002,3514500,73.693522
2014-12-22,73.970001,74.589996,73.870003,74.50,3730300,73.506055
2014-12-19,74.400002,74.620003,73.690002,73.949997,6277200,72.96339
2014-12-18,74.300003,74.989998,73.720001,74.639999,7823800,73.644186
2014-12-17,72.879997,73.730003,72.279999,73.57,2972800,72.588462
2014-12-16,73.199997,73.309998,71.980003,72.279999,7869200,71.315672
2014-12-15,73.07,73.519997,72.400002,73.199997,3638000,72.223396
2014-12-12,73.540001,74.00,72.389999,72.400002,4592000,71.434074
2014-12-11,73.660004,74.580002,73.32,73.529999,5648200,72.548995
2014-12-10,73.300003,74.190002,72.839996,72.910004,4556000,71.937271
2014-12-09,72.650002,73.629997,72.400002,73.599998,3367600,72.618061
2014-12-08,73.50,74.099998,73.239998,73.779999,3851500,72.79566
2014-12-05,73.519997,73.709999,72.879997,73.660004,3760000,72.677265
2014-12-04,73.330002,73.400002,72.529999,73.279999,4238000,72.30233
2014-12-03,73.00,73.830002,72.589996,73.330002,6699600,72.351666
2014-12-02,72.529999,73.400002,72.379997,73.07,4142200,72.095133
2014-12-01,73.339996,73.470001,72.059998,72.75,7798400,71.779403
