Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,68.82,69.839996,68.519997,68.580002,2911900,68.187294
2014-12-30,68.169998,68.599998,67.82,68.440002,1822600,68.048096
2014-12-29,67.839996,68.900002,67.830002,68.370003,2251800,67.978497
2014-12-26,67.949997,68.459999,67.790001,68.07,1469800,67.680212
2014-12-24,68.209999,68.459999,67.790001,67.870003,1168500,67.48136
2014-12-23,67.639999,68.43,67.400002,68.120003,2245700,67.729929
2014-12-22,66.239998,67.489998,66.129997,67.260002,2914800,66.874853
2014-12-19,67.300003,67.339996,65.470001,66.080002,5102200,65.701609
2014-12-18,66.120003,67.099998,65.419998,67.080002,4581800,66.695883
2014-12-17,65.519997,65.739998,64.400002,65.360001,3904700,64.985731
2014-12-16,65.889999,66.730003,65.019997,65.019997,5632900,64.647674
2014-12-15,65.730003,66.739998,65.540001,66.309998,4599800,65.930288
2014-12-12,65.269997,66.480003,65.209999,65.610001,3376400,65.2343
2014-12-11,64.629997,66.449997,64.629997,65.599998,4822200,65.224355
2014-12-10,65.290001,65.989998,64.25,64.290001,3224400,63.921859
2014-12-09,64.669998,65.620003,64.599998,65.419998,2195000,65.045385
2014-12-08,65.32,65.949997,65.239998,65.309998,2702300,64.936014
2014-12-05,65.910004,66.25,65.400002,65.580002,2335100,65.204473
2014-12-04,65.610001,65.910004,65.139999,65.910004,2671100,65.532585
2014-12-03,66.080002,66.370003,65.480003,65.860001,3620200,65.482868
2014-12-02,65.300003,65.690002,64.720001,65.239998,2701100,64.866416
2014-12-01,65.599998,65.839996,64.720001,65.230003,4454900,64.856478
