Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,87.139999,87.489998,85.82,85.860001,977200,82.686835
2014-12-30,87.080002,88.639999,86.330002,86.910004,645300,83.698032
2014-12-29,86.800003,87.879997,86.699997,87.260002,617600,84.035096
2014-12-26,87.849998,87.919998,87.160004,87.190002,561400,83.967683
2014-12-24,87.580002,87.870003,87.199997,87.339996,417500,84.112133
2014-12-23,87.650002,88.529999,87.220001,87.589996,1103300,84.352894
2014-12-22,87.040001,87.449997,86.540001,87.220001,987400,83.996573
2014-12-19,86.760002,87.300003,86.440002,86.720001,2387300,83.515052
2014-12-18,85.25,86.400002,84.690002,86.389999,1977200,83.197246
2014-12-17,82.150002,84.18,81.720001,84.00,1710000,80.895575
2014-12-16,81.93,83.209999,81.43,81.599998,1976700,78.584271
2014-12-15,81.260002,84.169998,81.260002,82.419998,1833400,79.373966
2014-12-12,83.510002,83.510002,81.970001,82.00,2027900,78.96949
2014-12-11,84.50,85.160004,84.080002,84.209999,1821200,80.674073
2014-12-10,84.550003,84.830002,83.800003,83.949997,1292700,80.424988
2014-12-09,83.650002,84.760002,83.440002,84.730003,692100,81.172243
2014-12-08,84.32,85.449997,83.949997,84.800003,896400,81.239303
2014-12-05,83.910004,84.879997,83.910004,84.489998,1105200,80.942315
2014-12-04,83.589996,83.849998,83.120003,83.650002,756600,80.137589
2014-12-03,83.160004,83.879997,83.059998,83.739998,943800,80.223807
2014-12-02,82.779999,83.419998,80.550003,83.25,853800,79.754384
2014-12-01,83.029999,83.730003,82.18,82.610001,753100,79.141257
