Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,54.200001,54.25,53.439999,53.470001,4068600,52.813253
2014-12-30,54.369999,54.369999,53.91,53.93,2626900,53.267602
2014-12-29,54.700001,54.810001,54.380001,54.459999,2381000,53.791091
2014-12-26,54.91,55.02,54.700001,54.75,1838700,54.07753
2014-12-24,54.990002,55.09,54.84,54.860001,1442900,54.18618
2014-12-23,54.959999,55.34,54.73,54.779999,3507600,54.107161
2014-12-22,54.490002,54.950001,54.330002,54.82,4359900,54.14667
2014-12-19,54.950001,54.950001,54.02,54.23,10583500,53.563917
2014-12-18,54.509998,54.529999,54.00,54.470001,8119900,53.800971
2014-12-17,52.450001,53.669998,51.959999,53.50,8881400,52.842884
2014-12-16,53.00,53.759998,52.419998,52.470001,7171500,51.825536
2014-12-15,53.639999,53.990002,52.779999,53.07,7483900,52.418165
2014-12-12,53.939999,54.599998,52.950001,53.110001,8428000,52.457674
2014-12-11,54.290001,54.860001,54.150002,54.490002,6517300,53.820725
2014-12-10,54.919998,55.200001,54.029999,54.099998,5838100,53.435513
2014-12-09,54.540001,55.41,54.310001,55.009998,8379200,54.334335
2014-12-08,55.139999,56.00,54.810001,55.080002,5914100,54.403479
2014-12-05,55.650002,55.720001,55.240002,55.580002,3923500,54.897338
2014-12-04,55.299999,55.779999,55.16,55.41,4114100,54.729424
2014-12-03,54.860001,55.68,54.549999,55.619999,5493600,54.936843
2014-12-02,54.330002,54.650002,54.029999,54.560001,4019600,53.889865
2014-12-01,54.27,54.470001,53.619999,54.25,5849800,53.583672
