Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,76.830002,76.959999,75.199997,75.25,2740400,74.448356
2014-12-30,76.75,77.029999,76.379997,76.389999,1544000,75.576211
2014-12-29,76.739998,77.50,76.540001,76.879997,2167300,76.060989
2014-12-26,76.989998,77.230003,76.510002,76.910004,1433900,76.090675
2014-12-24,77.589996,77.839996,76.779999,76.889999,1150400,76.070884
2014-12-23,76.839996,77.889999,76.580002,77.269997,2532700,76.446833
2014-12-22,75.959999,76.389999,75.629997,76.379997,2110700,75.566315
2014-12-19,75.620003,76.209999,75.370003,75.919998,5833500,75.111216
2014-12-18,74.809998,75.830002,74.360001,75.739998,3415900,74.933134
2014-12-17,72.410004,73.809998,72.410004,73.57,3162000,72.786253
2014-12-16,72.889999,73.870003,72.260002,72.260002,4391700,71.490211
2014-12-15,73.360001,74.040001,72.459999,73.080002,4438300,72.301475
2014-12-12,72.139999,73.919998,72.139999,72.959999,3473000,72.18275
2014-12-11,73.239998,73.660004,72.589996,72.970001,2365600,72.192646
2014-12-10,74.199997,74.230003,72.82,73.00,2723400,71.895842
2014-12-09,74.279999,74.760002,73.510002,74.610001,2375400,73.481491
2014-12-08,76.559998,76.790001,74.610001,75.110001,3053000,73.973928
2014-12-05,74.879997,78.00,74.68,76.900002,6836600,75.736854
2014-12-04,74.879997,75.199997,73.410004,74.739998,5174300,73.609522
2014-12-03,74.029999,75.110001,73.769997,75.050003,4590800,73.914838
2014-12-02,74.300003,74.779999,74.099998,74.139999,3129300,73.018598
2014-12-01,75.360001,75.529999,73.940002,74.160004,3775400,73.0383
