Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,57.720001,57.900002,56.950001,57.00,533600,57.00
2014-12-30,57.540001,58.029999,57.360001,57.439999,598700,57.439999
2014-12-29,58.490002,58.52,57.84,57.860001,536400,57.860001
2014-12-26,58.32,58.900002,58.32,58.580002,344800,58.580002
2014-12-24,58.509998,58.720001,58.279999,58.279999,199900,58.279999
2014-12-23,58.580002,58.950001,58.389999,58.459999,469400,58.459999
2014-12-22,58.50,58.970001,58.220001,58.490002,864700,58.490002
2014-12-19,57.50,58.560001,57.50,58.290001,2513200,58.290001
2014-12-18,57.00,57.369999,56.66,57.299999,1555500,57.299999
2014-12-17,55.57,56.439999,55.419998,56.259998,922500,56.259998
2014-12-16,56.330002,56.919998,55.529999,55.540001,1035800,55.540001
2014-12-15,57.32,57.68,56.310001,56.490002,1115500,56.490002
2014-12-12,57.130001,57.650002,56.68,56.98,814900,56.98
2014-12-11,56.959999,57.93,56.810001,57.490002,1185600,57.490002
2014-12-10,57.080002,57.639999,56.369999,56.650002,996400,56.650002
2014-12-09,56.860001,57.470001,56.66,57.380001,1323400,57.380001
2014-12-08,58.73,59.23,57.400002,57.50,1143700,57.50
2014-12-05,59.139999,59.540001,58.630001,58.82,708800,58.82
2014-12-04,58.59,59.299999,58.32,59.040001,749900,59.040001
2014-12-03,58.459999,59.310001,58.310001,58.650002,1036200,58.650002
2014-12-02,58.599998,59.00,58.240002,58.73,1198100,58.73
2014-12-01,59.669998,60.029999,58.700001,58.709999,898600,58.709999
