Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,119.610001,121.959999,118.50,118.800003,946300,118.800003
2014-12-30,119.360001,120.419998,119.010002,119.150002,861200,119.150002
2014-12-29,117.910004,120.00,116.839996,119.790001,929200,119.790001
2014-12-26,115.559998,118.830002,115.510002,118.410004,573300,118.410004
2014-12-24,113.75,117.290001,113.309998,115.150002,519000,115.150002
2014-12-23,117.529999,119.540001,109.339996,113.75,4062300,113.75
2014-12-22,118.919998,122.169998,116.00,116.68,2098100,116.68
2014-12-19,117.25,124.349998,116.760002,118.900002,6131400,118.900002
2014-12-18,114.080002,118.669998,111.660004,117.739998,2148300,117.739998
2014-12-17,110.370003,112.949997,108.699997,111.849998,2554200,111.849998
2014-12-16,112.639999,113.440002,110.07,110.860001,2109100,110.860001
2014-12-15,120.169998,120.239998,112.589996,112.879997,2138000,112.879997
2014-12-12,118.870003,121.089996,118.379997,118.550003,1326000,118.550003
2014-12-11,118.120003,122.260002,117.199997,120.779999,1299800,120.779999
2014-12-10,120.18,121.650002,116.730003,117.199997,1559700,117.199997
2014-12-09,118.330002,120.800003,116.790001,120.300003,1056700,120.300003
2014-12-08,118.230003,121.099998,117.949997,119.379997,1486000,119.379997
2014-12-05,118.489998,118.839996,117.050003,117.949997,1123100,117.949997
2014-12-04,119.68,121.190002,117.519997,118.709999,971700,118.709999
2014-12-03,120.199997,121.879997,119.00,120.18,1083600,120.18
2014-12-02,116.449997,119.400002,116.160004,118.949997,1165900,118.949997
2014-12-01,117.889999,119.760002,115.370003,116.849998,1101000,116.849998
