Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,73.18,73.379997,71.639999,71.699997,1474500,70.11019
2014-12-30,72.800003,73.410004,72.690002,72.889999,1782200,71.273806
2014-12-29,72.489998,72.949997,72.32,72.75,1531600,71.136911
2014-12-26,72.050003,72.589996,71.779999,72.370003,1111600,70.765339
2014-12-24,72.68,73.010002,71.730003,71.730003,1479800,70.139531
2014-12-23,73.699997,73.809998,72.540001,72.620003,2473100,71.009796
2014-12-22,71.879997,73.559998,71.860001,73.519997,2635100,71.889834
2014-12-19,72.139999,72.440002,71.339996,71.889999,4105100,70.295979
2014-12-18,73.220001,73.220001,71.040001,71.849998,3482300,70.256865
2014-12-17,72.309998,73.620003,71.980003,73.25,2457000,70.853341
2014-12-16,72.940002,73.010002,71.940002,71.989998,3352900,69.634565
2014-12-15,74.440002,74.739998,72.379997,72.720001,3275700,70.340683
2014-12-12,73.529999,75.160004,73.529999,74.440002,3812000,72.004408
2014-12-11,73.150002,74.010002,73.150002,73.669998,3230300,71.259597
2014-12-10,72.160004,73.57,72.00,73.07,3038900,70.67923
2014-12-09,71.330002,72.43,71.199997,72.379997,2363900,70.011804
2014-12-08,71.230003,72.220001,71.129997,71.669998,1826700,69.325035
2014-12-05,72.019997,72.019997,70.410004,71.059998,2620200,68.734993
2014-12-04,72.339996,72.709999,72.059998,72.559998,1836900,70.185914
2014-12-03,72.440002,72.510002,71.959999,72.339996,2018100,69.973111
2014-12-02,71.790001,72.639999,71.370003,72.480003,3390300,70.108538
2014-12-01,71.360001,72.650002,71.160004,72.419998,2183000,70.050496
