Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,55.50,55.669998,54.82,54.82,10090800,54.094501
2014-12-30,55.52,55.75,55.400002,55.419998,8749400,54.686559
2014-12-29,55.080002,55.950001,55.080002,55.709999,11385600,54.972722
2014-12-26,55.41,55.540001,55.259998,55.279999,5826000,54.548412
2014-12-24,55.630001,55.740002,55.32,55.34,4297000,54.60762
2014-12-23,55.080002,55.639999,55.060001,55.470001,13205700,54.7359
2014-12-22,54.459999,54.970001,54.34,54.970001,17395500,54.242517
2014-12-19,54.900002,55.419998,54.450001,54.450001,36186100,53.729399
2014-12-18,54.43,55.209999,54.360001,55.209999,21404700,54.479339
2014-12-17,53.040001,53.849998,52.939999,53.790001,19782600,53.078133
2014-12-16,52.82,53.77,52.73,52.77,24243300,52.071632
2014-12-15,54.009998,54.41,53.16,53.189999,24852800,52.486072
2014-12-12,53.869999,54.610001,53.66,53.700001,18792900,52.989324
2014-12-11,54.59,55.18,54.369999,54.43,17007700,53.709663
2014-12-10,54.73,55.09,54.209999,54.259998,23309500,53.541911
2014-12-09,54.290001,54.900002,54.049999,54.830002,12895800,54.104371
2014-12-08,54.950001,55.150002,54.59,54.77,18939300,54.045163
2014-12-05,54.889999,55.349998,54.849998,55.029999,14261400,54.301721
2014-12-04,54.32,54.639999,54.169998,54.50,12310000,53.778736
2014-12-03,54.169998,54.610001,54.099998,54.389999,14781300,53.670191
2014-12-02,53.75,54.439999,53.75,54.220001,12845600,53.502443
2014-12-01,54.419998,54.59,53.700001,53.82,13858500,53.107735
