Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,50.959999,51.040001,50.049999,50.419998,3277300,50.002468
2014-12-30,49.630001,50.939999,49.630001,50.400002,4275200,49.982636
2014-12-29,48.349998,50.040001,48.330002,49.709999,4464100,49.298348
2014-12-26,48.84,48.970001,48.290001,48.400002,2309400,47.999199
2014-12-24,49.139999,49.27,48.639999,48.669998,1321300,48.266959
2014-12-23,49.240002,49.459999,49.049999,49.07,2021400,48.663648
2014-12-22,48.950001,49.439999,48.75,49.07,2823500,48.663648
2014-12-19,49.029999,49.200001,48.52,48.799999,4821500,48.395884
2014-12-18,49.02,49.099998,48.139999,48.959999,5615800,48.554559
2014-12-17,47.889999,48.689999,47.610001,48.560001,3389800,48.157873
2014-12-16,48.32,48.830002,47.869999,47.880001,3672900,47.483504
2014-12-15,47.810001,49.48,47.810001,48.540001,5180000,48.138039
2014-12-12,47.209999,48.77,47.150002,48.32,4333000,47.919859
2014-12-11,47.470001,48.509998,47.459999,47.700001,2829100,47.304995
2014-12-10,48.00,48.349998,47.25,47.400002,2735800,47.00748
2014-12-09,47.43,48.369999,47.240002,48.150002,3229300,47.751269
2014-12-08,48.200001,48.580002,47.68,48.02,3493900,47.622344
2014-12-05,48.810001,48.939999,48.099998,48.290001,2325600,47.890109
2014-12-04,48.259998,48.919998,48.209999,48.91,3900300,48.504974
2014-12-03,48.529999,48.560001,47.790001,48.189999,2793300,47.790935
2014-12-02,48.73,48.950001,48.23,48.299999,2474900,47.900024
2014-12-01,49.00,49.490002,48.580002,48.700001,3765500,48.296714
