Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,194.880005,196.710007,193.429993,193.740005,508800,192.130045
2014-12-30,192.889999,194.990005,192.529999,193.660004,725600,192.050708
2014-12-29,191.490005,194.029999,191.139999,193.029999,635700,191.425939
2014-12-26,192.460007,194.460007,191.960007,192.449997,462100,190.850757
2014-12-24,192.160004,192.240005,191.050003,191.149994,254400,189.561556
2014-12-23,191.110001,192.179993,190.380005,191.130005,686600,189.541734
2014-12-22,189.389999,190.759995,187.320007,190.289993,665500,188.708702
2014-12-19,191.50,193.779999,187.990005,189.729996,1678100,188.153358
2014-12-18,191.639999,192.440002,188.350006,190.520004,1537600,188.936802
2014-12-17,174.429993,189.720001,172.850006,188.929993,3197700,187.360003
2014-12-16,179.059998,181.039993,174.020004,174.429993,2474900,172.980497
2014-12-15,181.880005,184.889999,180.729996,183.360001,1206000,181.836297
2014-12-12,183.919998,185.600006,180.449997,180.639999,1120800,179.138899
2014-12-11,183.839996,186.559998,183.50,184.460007,483500,182.927162
2014-12-10,186.350006,188.119995,183.169998,183.259995,908800,181.737122
2014-12-09,184.360001,187.699997,183.830002,187.429993,527600,185.872468
2014-12-08,188.679993,189.00,185.779999,186.589996,524200,185.039452
2014-12-05,188.009995,189.869995,187.139999,188.830002,582600,187.260843
2014-12-04,189.009995,190.220001,187.479996,188.259995,565200,186.695573
2014-12-03,185.25,189.460007,185.020004,189.410004,710000,187.836025
2014-12-02,185.190002,185.800003,183.679993,184.820007,650400,183.284171
2014-12-01,186.270004,186.839996,184.389999,185.449997,630600,183.908926
