Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,44.98,45.419998,44.810001,44.939999,6528200,43.849701
2014-12-30,45.66,45.880001,45.209999,45.389999,4966700,44.288785
2014-12-29,45.77,46.139999,45.279999,45.639999,6846700,44.532719
2014-12-26,45.50,46.00,45.189999,45.630001,4283400,44.522964
2014-12-24,45.369999,45.779999,45.110001,45.349998,4328300,44.249754
2014-12-23,45.98,46.060001,45.34,45.73,8440000,44.620536
2014-12-22,45.84,45.84,44.759998,45.639999,7062800,44.532719
2014-12-19,45.119999,46.07,44.849998,46.00,12110400,44.883986
2014-12-18,45.18,45.48,43.720001,44.799999,14451300,43.713099
2014-12-17,42.009998,43.98,41.91,43.630001,20588400,42.571486
2014-12-16,41.360001,43.200001,41.209999,41.84,11683400,40.824913
2014-12-15,43.32,43.450001,41.689999,42.139999,12630700,41.117633
2014-12-12,43.470001,44.18,42.73,42.759998,25538000,41.72259
2014-12-11,44.830002,45.84,43.93,44.130001,13387700,43.059355
2014-12-10,46.080002,46.189999,44.34,44.73,16585400,43.644797
2014-12-09,46.549999,47.389999,45.619999,47.23,11331600,45.527971
2014-12-08,49.349998,49.77,46.369999,46.669998,20347600,44.98815
2014-12-05,50.919998,51.259998,49.959999,50.040001,6028100,48.236708
2014-12-04,50.779999,51.650002,50.77,51.130001,5453700,49.287428
2014-12-03,50.419998,51.470001,50.130001,51.119999,5935200,49.277786
2014-12-02,50.290001,51.650002,49.77,50.700001,8895700,48.872923
2014-12-01,51.349998,51.720001,49.27,50.139999,15046200,48.333103
