Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,106.120003,107.239998,104.129997,106.00,1031300,105.697471
2014-12-30,109.400002,111.470001,107.120003,107.230003,1137200,106.923964
2014-12-29,111.889999,113.559998,108.709999,110.269997,1297000,109.955281
2014-12-26,113.07,114.50,110.18,110.879997,729800,110.56354
2014-12-24,111.919998,113.150002,110.290001,111.949997,675400,111.630486
2014-12-23,113.099998,114.730003,111.75,113.620003,1177900,113.295726
2014-12-22,107.919998,111.889999,107.650002,111.769997,1713000,111.451
2014-12-19,110.300003,113.760002,108.370003,113.620003,2074800,113.295726
2014-12-18,111.00,113.160004,104.32,108.669998,1885000,108.359849
2014-12-17,101.43,109.599998,101.139999,106.82,1871500,106.51513
2014-12-16,97.860001,104.019997,96.019997,100.940002,2416500,100.651915
2014-12-15,100.07,100.68,97.330002,97.769997,1808700,97.490956
2014-12-12,97.040001,100.949997,96.040001,98.50,1611700,98.218876
2014-12-11,100.599998,103.029999,98.309998,98.580002,1262100,98.29865
2014-12-10,100.870003,101.510002,98.50,99.910004,1660300,99.624856
2014-12-09,99.290001,103.949997,99.260002,103.589996,1780400,103.294345
2014-12-08,103.010002,103.620003,99.260002,99.559998,2150000,99.275848
2014-12-05,106.860001,108.150002,104.389999,104.870003,1244500,104.570699
2014-12-04,105.550003,108.129997,105.199997,107.169998,1506500,106.86413
2014-12-03,103.809998,110.290001,103.220001,108.169998,2233400,107.861276
2014-12-02,102.790001,106.379997,102.18,102.900002,1977600,102.60632
2014-12-01,103.980003,104.790001,99.010002,103.760002,2463400,103.463866
