Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,36.50,36.650002,35.869999,35.919998,2450000,35.235955
2014-12-30,37.139999,37.150002,36.330002,36.380001,2459800,35.687198
2014-12-29,36.66,37.580002,36.619999,37.25,3902300,36.540629
2014-12-26,36.279999,36.830002,36.279999,36.580002,2545600,35.88339
2014-12-24,35.490002,36.400002,35.490002,36.23,3164500,35.540053
2014-12-23,35.459999,35.669998,35.310001,35.43,2220200,34.755289
2014-12-22,35.50,35.66,35.330002,35.650002,2089700,34.676814
2014-12-19,35.43,35.709999,35.27,35.400002,4525100,34.433638
2014-12-18,34.900002,35.349998,34.75,35.349998,3062800,34.385
2014-12-17,34.310001,34.93,34.25,34.75,3357400,33.801381
2014-12-16,34.189999,34.740002,33.919998,34.220001,2957800,33.28585
2014-12-15,34.689999,34.77,33.98,34.25,3172300,33.31503
2014-12-12,34.799999,35.200001,34.619999,34.630001,2194500,33.684658
2014-12-11,34.709999,35.290001,34.709999,34.990002,2117000,34.034831
2014-12-10,34.98,35.240002,34.630001,34.669998,2757200,33.723563
2014-12-09,34.91,35.09,34.700001,35.02,3248000,34.064011
2014-12-08,34.599998,34.950001,34.560001,34.889999,3159900,33.937559
2014-12-05,34.52,34.759998,34.34,34.529999,2330300,33.587385
2014-12-04,34.790001,34.959999,34.59,34.810001,2614200,33.859744
2014-12-03,34.630001,34.82,34.419998,34.779999,3324100,33.830561
2014-12-02,34.48,34.830002,34.169998,34.66,3751400,33.713838
2014-12-01,33.560001,34.540001,33.490002,34.27,5969000,33.334485
