Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,38.650002,38.650002,38.040001,38.07,466700,37.774718
2014-12-30,38.82,38.91,38.419998,38.43,437700,38.131926
2014-12-29,38.93,39.169998,38.799999,38.860001,351800,38.558591
2014-12-26,38.880001,39.150002,38.880001,38.950001,249400,38.647893
2014-12-24,38.75,39.07,38.740002,38.759998,302200,38.459364
2014-12-23,38.919998,39.23,38.66,38.720001,645300,38.419678
2014-12-22,38.740002,38.990002,38.470001,38.740002,467200,38.439523
2014-12-19,38.25,38.700001,38.060001,38.59,1534200,38.290685
2014-12-18,37.57,38.099998,37.23,38.099998,698900,37.804484
2014-12-17,36.23,37.00,35.689999,36.91,1241600,36.623715
2014-12-16,36.07,37.049999,36.07,36.27,712900,35.98868
2014-12-15,36.43,36.73,36.009998,36.240002,724500,35.958914
2014-12-12,36.610001,37.00,36.189999,36.200001,722700,35.919223
2014-12-11,37.009998,37.450001,36.889999,36.98,586000,36.693172
2014-12-10,37.939999,38.02,36.77,36.84,781000,36.554258
2014-12-09,37.389999,38.18,37.389999,38.119999,616100,37.824329
2014-12-08,38.57,38.75,37.740002,37.82,468800,37.526657
2014-12-05,38.669998,38.799999,38.459999,38.59,392200,38.290685
2014-12-04,38.810001,38.810001,38.32,38.57,443000,38.270839
2014-12-03,38.009998,38.990002,38.009998,38.889999,691700,38.588357
2014-12-02,38.50,38.759998,37.970001,38.02,958600,37.725106
2014-12-01,38.110001,38.470001,37.84,38.439999,850000,38.141847
