Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,51.540001,51.68,50.459999,50.509998,9305000,50.509998
2014-12-30,50.349998,51.27,50.349998,51.220001,10703500,51.220001
2014-12-29,50.669998,51.009998,50.509998,50.529999,6624500,50.529999
2014-12-26,50.650002,51.060001,50.610001,50.860001,5169700,50.860001
2014-12-24,50.189999,50.919998,50.189999,50.650002,5961900,50.650002
2014-12-23,51.459999,51.459999,49.93,50.02,15514000,50.02
2014-12-22,50.990002,51.599998,50.950001,51.150002,24021100,51.150002
2014-12-19,51.060001,51.470001,50.830002,50.880001,24110200,50.880001
2014-12-18,50.93,51.150002,50.439999,50.91,15338900,50.91
2014-12-17,49.02,50.25,48.900002,50.119999,17112300,50.119999
2014-12-16,49.50,50.080002,48.810001,48.849998,21399300,48.849998
2014-12-15,50.419998,50.919998,49.50,49.82,18132500,49.82
2014-12-12,49.540001,51.169998,49.48,50.240002,20370500,50.240002
2014-12-11,49.540001,50.580002,49.43,49.939999,21100200,49.939999
2014-12-10,50.330002,50.689999,49.189999,49.209999,16184100,49.209999
2014-12-09,48.75,50.529999,48.290001,50.509998,19655600,50.509998
2014-12-08,50.52,50.900002,49.220001,49.619999,18190100,49.619999
2014-12-05,51.029999,51.25,50.509998,50.990002,15418100,50.990002
2014-12-04,50.189999,50.669998,49.900002,50.41,12136700,50.41
2014-12-03,50.709999,50.970001,50.200001,50.279999,14236000,50.279999
2014-12-02,50.27,51.119999,50.009998,50.669998,16099900,50.669998
2014-12-01,51.43,51.43,49.66,50.099998,23146900,50.099998
